category_en,revenue,order_count
health_beauty,1233131.72,8647
watches_gifts,1166176.98,5495
bed_bath_table,1023434.76,9272
sports_leisure,954852.55,7530
computers_accessories,888724.61,6530
furniture_decor,711927.69,6307
housewares,615628.69,5743
cool_stuff,610204.1,3559
auto,578966.65,3810
toys,471286.48,3804
garden_tools,470495.28,3448
baby,400421.84,2809
perfumery,390144.65,3086
telephony,309860.23,4093
office_furniture,268154.31,1254
stationery,223788.69,2264
computers,218684.14,177
pet_shop,211695.64,1688
musical_instruments,184315.74,611
small_appliances,182754.12,609
Unknown,170726.63,1392
electronics,155043.93,2517
fashion_bags_accessories,149329.39,1820
consoles_games,148003.37,1018
construction_tools_construction,142108.49,736
luggage_accessories,138701.63,1019
home_appliances_2,107953.95,227
home_construction,81407.57,483
home_appliances,78832.48,747
agro_industry_and_commerce,70566.1,177
furniture_living_room,67350.7,414
home_confort,58008.45,392
fixed_telephony,55315.21,212
air_conditioning,53323.56,246
audio,50570.6,348
small_appliances_home_oven_and_coffee,46589.56,72
kitchen_dining_laundry_garden_furniture,45531.98,241
books_general_interest,45302.15,496
construction_tools_lights,39957.0,242
construction_tools_safety,38773.22,159
industry_commerce_and_business,38498.81,232
food,28731.15,441
market_place,27795.77,274
costruction_tools_garden,25096.28,190
art,23657.3,195
fashion_shoes,23001.46,235
drinks,21529.84,287
signaling_and_security,21315.05,138
furniture_bedroom,19051.8,90
books_technical,18702.23,256
costruction_tools_tools,15903.95,97
food_drink,14942.88,221
fashion_male_clothing,10452.33,106
fashion_underwear_beach,9305.95,117
christmas_supplies,8737.84,125
tablets_printing_image,7528.41,79
cine_photo,6674.47,63
music,6034.35,38
dvds_blu_ray,4542.59,56
party_supplies,4465.19,38
books_imported,4418.86,50
furniture_mattress_and_upholstery,4323.38,37
portateis_cozinha_e_preparadores_de_alimentos,3933.63,13
fashio_female_clothing,2634.94,36
fashion_sport,2094.52,26
la_cuisine,2054.99,13
arts_and_craftmanship,1814.01,23
diapers_and_hygiene,1500.79,25
pc_gamer,1306.95,7
flowers,1110.04,29
home_comfort_2,760.27,24
cds_dvds_musicals,730.0,12
fashion_childrens_clothes,519.95,7
security_and_services,283.29,2
