year,month,month_name,delivered_orders,delayed_orders,delay_rate_pct
2016,9,September,1,1.0,100.0
2016,10,October,265,2.0,0.75
2016,12,December,1,0.0,0.0
2017,1,January,750,22.0,2.93
2017,2,February,1653,49.0,2.96
2017,3,March,2546,116.0,4.56
2017,4,April,2303,151.0,6.56
2017,5,May,3546,106.0,2.99
2017,6,June,3135,95.0,3.03
2017,7,July,3872,108.0,2.79
2017,8,August,4193,122.0,2.91
2017,9,September,4150,182.0,4.39
2017,10,October,4478,187.0,4.18
2017,11,November,7289,904.0,12.4
2017,12,December,5513,411.0,7.46
2018,1,January,7069,403.0,5.7
2018,2,February,6555,926.0,14.13
2018,3,March,7003,1328.0,18.96
2018,4,April,6798,306.0,4.5
2018,5,May,6749,443.0,6.56
2018,6,June,6099,71.0,1.16
2018,7,July,6159,208.0,3.38
2018,8,August,6351,393.0,6.19
