customer_state,revenue,order_count,customer_count
SP,5067633.16,40501,39156
RJ,1759651.13,12350,11917
MG,1552481.83,11354,11001
RS,728897.47,5345,5168
PR,666063.51,4923,4769
SC,507012.13,3546,3449
BA,493584.14,3256,3158
DF,296498.41,2080,2019
GO,282836.7,1957,1895
ES,268643.45,1995,1928
PE,251889.49,1593,1551
CE,219757.38,1279,1258
PA,174470.59,946,922
MT,152191.62,886,856
MA,117009.38,717,700
MS,115429.97,701,681
PB,112586.82,517,504
PI,84721.0,476,464
RN,82105.66,474,464
AL,78855.72,397,387
SE,56574.19,335,329
TO,48402.51,274,267
RO,45682.76,243,231
AM,22155.84,145,140
AC,15930.97,80,76
AP,13374.81,67,66
RR,7057.47,41,40
